,Territorio,Indicatori,Tipologia di esercizio,Paese di residenza dei clienti,TIME,Value
0,Piemonte,arrivi ,esercizi alberghieri,Mondo,2016-01,227375.0
1,Piemonte,arrivi ,esercizi alberghieri,Mondo,2016-02,291452.0
2,Piemonte,arrivi ,esercizi alberghieri,Mondo,2016-03,261379.0
3,Piemonte,arrivi ,esercizi alberghieri,Mondo,2016-04,302011.0
4,Piemonte,arrivi ,esercizi alberghieri,Mondo,2016-05,350073.0
5,Piemonte,arrivi ,esercizi alberghieri,Mondo,2016-06,315119.0
6,Piemonte,arrivi ,esercizi alberghieri,Mondo,2016-07,372813.0
7,Piemonte,arrivi ,esercizi alberghieri,Mondo,2016-08,327356.0
8,Piemonte,arrivi ,esercizi alberghieri,Mondo,2016-09,355459.0
9,Piemonte,arrivi ,esercizi alberghieri,Mondo,2016-10,326323.0
10,Piemonte,arrivi ,esercizi alberghieri,Mondo,2016-11,233318.0
11,Piemonte,arrivi ,esercizi alberghieri,Mondo,2016-12,243885.0
12,Piemonte,arrivi ,esercizi alberghieri,Mondo,2017-01,242825.0
13,Piemonte,arrivi ,esercizi alberghieri,Mondo,2017-02,287858.0
14,Piemonte,arrivi ,esercizi alberghieri,Mondo,2017-03,286285.0
15,Piemonte,arrivi ,esercizi alberghieri,Mondo,2017-04,340470.0
16,Piemonte,arrivi ,esercizi alberghieri,Mondo,2017-05,353541.0
17,Piemonte,arrivi ,esercizi alberghieri,Mondo,2017-06,359872.0
18,Piemonte,arrivi ,esercizi alberghieri,Mondo,2017-07,407296.0
19,Piemonte,arrivi ,esercizi alberghieri,Mondo,2017-08,359400.0
20,Piemonte,arrivi ,esercizi alberghieri,Mondo,2017-09,377680.0
21,Piemonte,arrivi ,esercizi alberghieri,Mondo,2017-10,336209.0
22,Piemonte,arrivi ,esercizi alberghieri,Mondo,2017-11,244891.0
23,Piemonte,arrivi ,esercizi alberghieri,Mondo,2017-12,252202.0
24,Piemonte,arrivi ,esercizi alberghieri,Mondo,2018-01,244871.0
25,Piemonte,arrivi ,esercizi alberghieri,Mondo,2018-02,289158.0
26,Piemonte,arrivi ,esercizi alberghieri,Mondo,2018-03,325614.0
27,Piemonte,arrivi ,esercizi alberghieri,Mondo,2018-04,326459.0
28,Piemonte,arrivi ,esercizi alberghieri,Mondo,2018-05,353476.0
29,Piemonte,arrivi ,esercizi alberghieri,Mondo,2018-06,353100.0
30,Piemonte,arrivi ,esercizi alberghieri,Mondo,2018-07,387368.0
31,Piemonte,arrivi ,esercizi alberghieri,Mondo,2018-08,375494.0
32,Piemonte,arrivi ,esercizi alberghieri,Mondo,2018-09,383899.0
33,Piemonte,arrivi ,esercizi alberghieri,Mondo,2018-10,321806.0
34,Piemonte,arrivi ,esercizi alberghieri,Mondo,2018-11,267911.0
35,Piemonte,arrivi ,esercizi alberghieri,Mondo,2018-12,262342.0
36,Piemonte,arrivi ,esercizi alberghieri,Mondo,2019-01,226155.0
37,Piemonte,arrivi ,esercizi alberghieri,Mondo,2019-02,270750.0
38,Piemonte,arrivi ,esercizi alberghieri,Mondo,2019-03,299935.0
39,Piemonte,arrivi ,esercizi alberghieri,Mondo,2019-04,336509.0
40,Piemonte,arrivi ,esercizi alberghieri,Mondo,2019-05,338242.0
41,Piemonte,arrivi ,esercizi alberghieri,Mondo,2019-06,352898.0
42,Piemonte,arrivi ,esercizi alberghieri,Mondo,2019-07,387324.0
43,Piemonte,arrivi ,esercizi alberghieri,Mondo,2019-08,367957.0
44,Piemonte,arrivi ,esercizi alberghieri,Mondo,2019-09,376290.0
45,Piemonte,arrivi ,esercizi alberghieri,Mondo,2019-10,341638.0
46,Piemonte,arrivi ,esercizi alberghieri,Mondo,2019-11,273479.0
47,Piemonte,arrivi ,esercizi alberghieri,Mondo,2019-12,259451.0
48,Piemonte,arrivi ,esercizi alberghieri,Mondo,2020-01,240261.0
49,Piemonte,arrivi ,esercizi alberghieri,Mondo,2020-02,230539.0
50,Piemonte,arrivi ,esercizi alberghieri,Mondo,2020-03,33116.0
51,Piemonte,arrivi ,esercizi alberghieri,Mondo,2020-04,3248.0
52,Piemonte,arrivi ,esercizi alberghieri,Mondo,2020-05,22547.0
53,Piemonte,arrivi ,esercizi alberghieri,Mondo,2020-06,90354.0
54,Piemonte,arrivi ,esercizi alberghieri,Mondo,2020-07,196862.0
55,Piemonte,arrivi ,esercizi alberghieri,Mondo,2020-08,241226.0
56,Piemonte,arrivi ,esercizi alberghieri,Mondo,2020-09,209918.0
57,Piemonte,arrivi ,esercizi alberghieri,Mondo,2020-10,159887.0
58,Piemonte,arrivi ,esercizi alberghieri,Mondo,2020-11,47488.0
59,Piemonte,arrivi ,esercizi alberghieri,Mondo,2020-12,54760.0
60,Piemonte,arrivi ,esercizi alberghieri,Mondo,2021-01,64912.0
61,Piemonte,arrivi ,esercizi alberghieri,Mondo,2021-02,98939.0
62,Piemonte,arrivi ,esercizi alberghieri,Mondo,2021-03,69287.0
63,Piemonte,arrivi ,esercizi alberghieri,Mondo,2021-04,73724.0
64,Piemonte,arrivi ,esercizi alberghieri,Mondo,2021-05,143864.0
65,Piemonte,arrivi ,esercizi alberghieri,Mondo,2021-06,206989.0
66,Piemonte,arrivi ,esercizi alberghieri,Mondo,2021-07,301595.0
67,Piemonte,arrivi ,esercizi alberghieri,Mondo,2021-08,333346.0
68,Piemonte,arrivi ,esercizi alberghieri,Mondo,2021-09,296523.0
69,Piemonte,arrivi ,esercizi alberghieri,Mondo,2021-10,301354.0
70,Piemonte,arrivi ,esercizi alberghieri,Mondo,2021-11,226834.0
71,Piemonte,arrivi ,esercizi alberghieri,Mondo,2021-12,203810.0
72,Piemonte,arrivi ,esercizi alberghieri,Paesi esteri,2008-01,33994.0
73,Piemonte,arrivi ,esercizi alberghieri,Paesi esteri,2008-02,44300.0
74,Piemonte,arrivi ,esercizi alberghieri,Paesi esteri,2008-03,61767.0
75,Piemonte,arrivi ,esercizi alberghieri,Paesi esteri,2008-04,77377.0
76,Piemonte,arrivi ,esercizi alberghieri,Paesi esteri,2008-05,127471.0
77,Piemonte,arrivi ,esercizi alberghieri,Paesi esteri,2008-06,90402.0
78,Piemonte,arrivi ,esercizi alberghieri,Paesi esteri,2008-07,105116.0
79,Piemonte,arrivi ,esercizi alberghieri,Paesi esteri,2008-08,92934.0
80,Piemonte,arrivi ,esercizi alberghieri,Paesi esteri,2008-09,112461.0
81,Piemonte,arrivi ,esercizi alberghieri,Paesi esteri,2008-10,86152.0
82,Piemonte,arrivi ,esercizi alberghieri,Paesi esteri,2008-11,37336.0
83,Piemonte,arrivi ,esercizi alberghieri,Paesi esteri,2008-12,32341.0
84,Piemonte,arrivi ,esercizi alberghieri,Paesi esteri,2009-01,51023.0
85,Piemonte,arrivi ,esercizi alberghieri,Paesi esteri,2009-02,38434.0
86,Piemonte,arrivi ,esercizi alberghieri,Paesi esteri,2009-03,72712.0
87,Piemonte,arrivi ,esercizi alberghieri,Paesi esteri,2009-04,70908.0
88,Piemonte,arrivi ,esercizi alberghieri,Paesi esteri,2009-05,95200.0
89,Piemonte,arrivi ,esercizi alberghieri,Paesi esteri,2009-06,80178.0
90,Piemonte,arrivi ,esercizi alberghieri,Paesi esteri,2009-07,89385.0
91,Piemonte,arrivi ,esercizi alberghieri,Paesi esteri,2009-08,90230.0
92,Piemonte,arrivi ,esercizi alberghieri,Paesi esteri,2009-09,100878.0
93,Piemonte,arrivi ,esercizi alberghieri,Paesi esteri,2009-10,75979.0
94,Piemonte,arrivi ,esercizi alberghieri,Paesi esteri,2009-11,30424.0
95,Piemonte,arrivi ,esercizi alberghieri,Paesi esteri,2009-12,35970.0
96,Piemonte,arrivi ,esercizi alberghieri,Paesi esteri,2010-01,38468.0
97,Piemonte,arrivi ,esercizi alberghieri,Paesi esteri,2010-02,43650.0
98,Piemonte,arrivi ,esercizi alberghieri,Paesi esteri,2010-03,48888.0
99,Piemonte,arrivi ,esercizi alberghieri,Paesi esteri,2010-04,83385.0
100,Piemonte,arrivi ,esercizi alberghieri,Paesi esteri,2010-05,113047.0
101,Piemonte,arrivi ,esercizi alberghieri,Paesi esteri,2010-06,97372.0
102,Piemonte,arrivi ,esercizi alberghieri,Paesi esteri,2010-07,117028.0
103,Piemonte,arrivi ,esercizi alberghieri,Paesi esteri,2010-08,105363.0
104,Piemonte,arrivi ,esercizi alberghieri,Paesi esteri,2010-09,120130.0
105,Piemonte,arrivi ,esercizi alberghieri,Paesi esteri,2010-10,91454.0
106,Piemonte,arrivi ,esercizi alberghieri,Paesi esteri,2010-11,40944.0
107,Piemonte,arrivi ,esercizi alberghieri,Paesi esteri,2010-12,28780.0
108,Piemonte,arrivi ,esercizi alberghieri,Paesi esteri,2011-01,32717.0
109,Piemonte,arrivi ,esercizi alberghieri,Paesi esteri,2011-02,39907.0
110,Piemonte,arrivi ,esercizi alberghieri,Paesi esteri,2011-03,47533.0
111,Piemonte,arrivi ,esercizi alberghieri,Paesi esteri,2011-04,90026.0
112,Piemonte,arrivi ,esercizi alberghieri,Paesi esteri,2011-05,106465.0
113,Piemonte,arrivi ,esercizi alberghieri,Paesi esteri,2011-06,122360.0
114,Piemonte,arrivi ,esercizi alberghieri,Paesi esteri,2011-07,129957.0
115,Piemonte,arrivi ,esercizi alberghieri,Paesi esteri,2011-08,115339.0
116,Piemonte,arrivi ,esercizi alberghieri,Paesi esteri,2011-09,132002.0
117,Piemonte,arrivi ,esercizi alberghieri,Paesi esteri,2011-10,95570.0
118,Piemonte,arrivi ,esercizi alberghieri,Paesi esteri,2011-11,40895.0
119,Piemonte,arrivi ,esercizi alberghieri,Paesi esteri,2011-12,28298.0
120,Piemonte,arrivi ,esercizi alberghieri,Paesi esteri,2012-01,42341.0
121,Piemonte,arrivi ,esercizi alberghieri,Paesi esteri,2012-02,53267.0
122,Piemonte,arrivi ,esercizi alberghieri,Paesi esteri,2012-03,71092.0
123,Piemonte,arrivi ,esercizi alberghieri,Paesi esteri,2012-04,109864.0
124,Piemonte,arrivi ,esercizi alberghieri,Paesi esteri,2012-05,137810.0
125,Piemonte,arrivi ,esercizi alberghieri,Paesi esteri,2012-06,130080.0
126,Piemonte,arrivi ,esercizi alberghieri,Paesi esteri,2012-07,142086.0
127,Piemonte,arrivi ,esercizi alberghieri,Paesi esteri,2012-08,136326.0
128,Piemonte,arrivi ,esercizi alberghieri,Paesi esteri,2012-09,145843.0
129,Piemonte,arrivi ,esercizi alberghieri,Paesi esteri,2012-10,116339.0
130,Piemonte,arrivi ,esercizi alberghieri,Paesi esteri,2012-11,55506.0
131,Piemonte,arrivi ,esercizi alberghieri,Paesi esteri,2012-12,59126.0
132,Piemonte,arrivi ,esercizi alberghieri,Paesi esteri,2013-01,47388.0
133,Piemonte,arrivi ,esercizi alberghieri,Paesi esteri,2013-02,44371.0
134,Piemonte,arrivi ,esercizi alberghieri,Paesi esteri,2013-03,71493.0
135,Piemonte,arrivi ,esercizi alberghieri,Paesi esteri,2013-04,84106.0
136,Piemonte,arrivi ,esercizi alberghieri,Paesi esteri,2013-05,130737.0
137,Piemonte,arrivi ,esercizi alberghieri,Paesi esteri,2013-06,118229.0
138,Piemonte,arrivi ,esercizi alberghieri,Paesi esteri,2013-07,138387.0
139,Piemonte,arrivi ,esercizi alberghieri,Paesi esteri,2013-08,138685.0
140,Piemonte,arrivi ,esercizi alberghieri,Paesi esteri,2013-09,146987.0
141,Piemonte,arrivi ,esercizi alberghieri,Paesi esteri,2013-10,99868.0
142,Piemonte,arrivi ,esercizi alberghieri,Paesi esteri,2013-11,52758.0
143,Piemonte,arrivi ,esercizi alberghieri,Paesi esteri,2013-12,37291.0
144,Piemonte,arrivi ,esercizi alberghieri,Paesi esteri,2014-01,42401.0
145,Piemonte,arrivi ,esercizi alberghieri,Paesi esteri,2014-02,50699.0
146,Piemonte,arrivi ,esercizi alberghieri,Paesi esteri,2014-03,65559.0
147,Piemonte,arrivi ,esercizi alberghieri,Paesi esteri,2014-04,94433.0
148,Piemonte,arrivi ,esercizi alberghieri,Paesi esteri,2014-05,136138.0
149,Piemonte,arrivi ,esercizi alberghieri,Paesi esteri,2014-06,125411.0
150,Piemonte,arrivi ,esercizi alberghieri,Paesi esteri,2014-07,165402.0
151,Piemonte,arrivi ,esercizi alberghieri,Paesi esteri,2014-08,149297.0
152,Piemonte,arrivi ,esercizi alberghieri,Paesi esteri,2014-09,147317.0
153,Piemonte,arrivi ,esercizi alberghieri,Paesi esteri,2014-10,105573.0
154,Piemonte,arrivi ,esercizi alberghieri,Paesi esteri,2014-11,47093.0
155,Piemonte,arrivi ,esercizi alberghieri,Paesi esteri,2014-12,38751.0
156,Piemonte,arrivi ,esercizi alberghieri,Paesi esteri,2015-01,70667.0
157,Piemonte,arrivi ,esercizi alberghieri,Paesi esteri,2015-02,63320.0
158,Piemonte,arrivi ,esercizi alberghieri,Paesi esteri,2015-03,77775.0
159,Piemonte,arrivi ,esercizi alberghieri,Paesi esteri,2015-04,116984.0
160,Piemonte,arrivi ,esercizi alberghieri,Paesi esteri,2015-05,151458.0
161,Piemonte,arrivi ,esercizi alberghieri,Paesi esteri,2015-06,154947.0
162,Piemonte,arrivi ,esercizi alberghieri,Paesi esteri,2015-07,168503.0
163,Piemonte,arrivi ,esercizi alberghieri,Paesi esteri,2015-08,156491.0
164,Piemonte,arrivi ,esercizi alberghieri,Paesi esteri,2015-09,173122.0
165,Piemonte,arrivi ,esercizi alberghieri,Paesi esteri,2015-10,142063.0
166,Piemonte,arrivi ,esercizi alberghieri,Paesi esteri,2015-11,68494.0
167,Piemonte,arrivi ,esercizi alberghieri,Paesi esteri,2015-12,51600.0
168,Piemonte,arrivi ,esercizi alberghieri,Paesi esteri,2016-01,53770.0
169,Piemonte,arrivi ,esercizi alberghieri,Paesi esteri,2016-02,76932.0
170,Piemonte,arrivi ,esercizi alberghieri,Paesi esteri,2016-03,76211.0
171,Piemonte,arrivi ,esercizi alberghieri,Paesi esteri,2016-04,97312.0
172,Piemonte,arrivi ,esercizi alberghieri,Paesi esteri,2016-05,146564.0
173,Piemonte,arrivi ,esercizi alberghieri,Paesi esteri,2016-06,129093.0
174,Piemonte,arrivi ,esercizi alberghieri,Paesi esteri,2016-07,170547.0
175,Piemonte,arrivi ,esercizi alberghieri,Paesi esteri,2016-08,149011.0
176,Piemonte,arrivi ,esercizi alberghieri,Paesi esteri,2016-09,163904.0
177,Piemonte,arrivi ,esercizi alberghieri,Paesi esteri,2016-10,128147.0
178,Piemonte,arrivi ,esercizi alberghieri,Paesi esteri,2016-11,55175.0
179,Piemonte,arrivi ,esercizi alberghieri,Paesi esteri,2016-12,59593.0
180,Piemonte,arrivi ,esercizi alberghieri,Paesi esteri,2017-01,47657.0
181,Piemonte,arrivi ,esercizi alberghieri,Paesi esteri,2017-02,60250.0
182,Piemonte,arrivi ,esercizi alberghieri,Paesi esteri,2017-03,83002.0
183,Piemonte,arrivi ,esercizi alberghieri,Paesi esteri,2017-04,122383.0
184,Piemonte,arrivi ,esercizi alberghieri,Paesi esteri,2017-05,145545.0
185,Piemonte,arrivi ,esercizi alberghieri,Paesi esteri,2017-06,148673.0
186,Piemonte,arrivi ,esercizi alberghieri,Paesi esteri,2017-07,181027.0
187,Piemonte,arrivi ,esercizi alberghieri,Paesi esteri,2017-08,180992.0
188,Piemonte,arrivi ,esercizi alberghieri,Paesi esteri,2017-09,179010.0
189,Piemonte,arrivi ,esercizi alberghieri,Paesi esteri,2017-10,127332.0
190,Piemonte,arrivi ,esercizi alberghieri,Paesi esteri,2017-11,64418.0
191,Piemonte,arrivi ,esercizi alberghieri,Paesi esteri,2017-12,47905.0
192,Piemonte,arrivi ,esercizi alberghieri,Paesi esteri,2018-01,62097.0
193,Piemonte,arrivi ,esercizi alberghieri,Paesi esteri,2018-02,86222.0
194,Piemonte,arrivi ,esercizi alberghieri,Paesi esteri,2018-03,110624.0
195,Piemonte,arrivi ,esercizi alberghieri,Paesi esteri,2018-04,117931.0
196,Piemonte,arrivi ,esercizi alberghieri,Paesi esteri,2018-05,155082.0
197,Piemonte,arrivi ,esercizi alberghieri,Paesi esteri,2018-06,146057.0
198,Piemonte,arrivi ,esercizi alberghieri,Paesi esteri,2018-07,177465.0
199,Piemonte,arrivi ,esercizi alberghieri,Paesi esteri,2018-08,171629.0
200,Piemonte,arrivi ,esercizi alberghieri,Paesi esteri,2018-09,176492.0
201,Piemonte,arrivi ,esercizi alberghieri,Paesi esteri,2018-10,124543.0
202,Piemonte,arrivi ,esercizi alberghieri,Paesi esteri,2018-11,65390.0
203,Piemonte,arrivi ,esercizi alberghieri,Paesi esteri,2018-12,52733.0
204,Piemonte,arrivi ,esercizi alberghieri,Paesi esteri,2019-01,56610.0
205,Piemonte,arrivi ,esercizi alberghieri,Paesi esteri,2019-02,69497.0
206,Piemonte,arrivi ,esercizi alberghieri,Paesi esteri,2019-03,91387.0
207,Piemonte,arrivi ,esercizi alberghieri,Paesi esteri,2019-04,132689.0
208,Piemonte,arrivi ,esercizi alberghieri,Paesi esteri,2019-05,148301.0
209,Piemonte,arrivi ,esercizi alberghieri,Paesi esteri,2019-06,170304.0
210,Piemonte,arrivi ,esercizi alberghieri,Paesi esteri,2019-07,176510.0
211,Piemonte,arrivi ,esercizi alberghieri,Paesi esteri,2019-08,196515.0
212,Piemonte,arrivi ,esercizi alberghieri,Paesi esteri,2019-09,183122.0
213,Piemonte,arrivi ,esercizi alberghieri,Paesi esteri,2019-10,145930.0
214,Piemonte,arrivi ,esercizi alberghieri,Paesi esteri,2019-11,77161.0
215,Piemonte,arrivi ,esercizi alberghieri,Paesi esteri,2019-12,74158.0
216,Piemonte,arrivi ,esercizi alberghieri,Paesi esteri,2020-01,70487.0
217,Piemonte,arrivi ,esercizi alberghieri,Paesi esteri,2020-02,79526.0
218,Piemonte,arrivi ,esercizi alberghieri,Paesi esteri,2020-03,5310.0
219,Piemonte,arrivi ,esercizi alberghieri,Paesi esteri,2020-04,125.0
220,Piemonte,arrivi ,esercizi alberghieri,Paesi esteri,2020-05,1046.0
221,Piemonte,arrivi ,esercizi alberghieri,Paesi esteri,2020-06,13171.0
222,Piemonte,arrivi ,esercizi alberghieri,Paesi esteri,2020-07,59597.0
223,Piemonte,arrivi ,esercizi alberghieri,Paesi esteri,2020-08,87095.0
224,Piemonte,arrivi ,esercizi alberghieri,Paesi esteri,2020-09,67080.0
225,Piemonte,arrivi ,esercizi alberghieri,Paesi esteri,2020-10,39720.0
226,Piemonte,arrivi ,esercizi alberghieri,Paesi esteri,2020-11,5079.0
227,Piemonte,arrivi ,esercizi alberghieri,Paesi esteri,2020-12,4938.0
228,Piemonte,arrivi ,esercizi alberghieri,Paesi esteri,2021-01,5796.0
229,Piemonte,arrivi ,esercizi alberghieri,Paesi esteri,2021-02,9605.0
230,Piemonte,arrivi ,esercizi alberghieri,Paesi esteri,2021-03,7090.0
231,Piemonte,arrivi ,esercizi alberghieri,Paesi esteri,2021-04,6906.0
232,Piemonte,arrivi ,esercizi alberghieri,Paesi esteri,2021-05,24514.0
233,Piemonte,arrivi ,esercizi alberghieri,Paesi esteri,2021-06,46320.0
234,Piemonte,arrivi ,esercizi alberghieri,Paesi esteri,2021-07,117125.0
235,Piemonte,arrivi ,esercizi alberghieri,Paesi esteri,2021-08,148557.0
236,Piemonte,arrivi ,esercizi alberghieri,Paesi esteri,2021-09,117740.0
237,Piemonte,arrivi ,esercizi alberghieri,Paesi esteri,2021-10,97374.0
238,Piemonte,arrivi ,esercizi alberghieri,Paesi esteri,2021-11,57208.0
239,Piemonte,arrivi ,esercizi alberghieri,Paesi esteri,2021-12,39072.0
240,Torino,arrivi ,esercizi alberghieri,Mondo,2016-01,162464.0
241,Torino,arrivi ,esercizi alberghieri,Mondo,2016-02,214876.0
242,Torino,arrivi ,esercizi alberghieri,Mondo,2016-03,154886.0
243,Torino,arrivi ,esercizi alberghieri,Mondo,2016-04,164188.0
244,Torino,arrivi ,esercizi alberghieri,Mondo,2016-05,169722.0
245,Torino,arrivi ,esercizi alberghieri,Mondo,2016-06,150264.0
246,Torino,arrivi ,esercizi alberghieri,Mondo,2016-07,169761.0
247,Torino,arrivi ,esercizi alberghieri,Mondo,2016-08,136940.0
248,Torino,arrivi ,esercizi alberghieri,Mondo,2016-09,156250.0
249,Torino,arrivi ,esercizi alberghieri,Mondo,2016-10,164657.0
250,Torino,arrivi ,esercizi alberghieri,Mondo,2016-11,139447.0
251,Torino,arrivi ,esercizi alberghieri,Mondo,2016-12,156617.0
252,Torino,arrivi ,esercizi alberghieri,Mondo,2017-01,171488.0
253,Torino,arrivi ,esercizi alberghieri,Mondo,2017-02,212110.0
254,Torino,arrivi ,esercizi alberghieri,Mondo,2017-03,184843.0
255,Torino,arrivi ,esercizi alberghieri,Mondo,2017-04,172263.0
256,Torino,arrivi ,esercizi alberghieri,Mondo,2017-05,178283.0
257,Torino,arrivi ,esercizi alberghieri,Mondo,2017-06,170127.0
258,Torino,arrivi ,esercizi alberghieri,Mondo,2017-07,190043.0
259,Torino,arrivi ,esercizi alberghieri,Mondo,2017-08,155084.0
260,Torino,arrivi ,esercizi alberghieri,Mondo,2017-09,166162.0
261,Torino,arrivi ,esercizi alberghieri,Mondo,2017-10,168871.0
262,Torino,arrivi ,esercizi alberghieri,Mondo,2017-11,145652.0
263,Torino,arrivi ,esercizi alberghieri,Mondo,2017-12,161837.0
264,Torino,arrivi ,esercizi alberghieri,Mondo,2018-01,173226.0
265,Torino,arrivi ,esercizi alberghieri,Mondo,2018-02,211201.0
266,Torino,arrivi ,esercizi alberghieri,Mondo,2018-03,213713.0
267,Torino,arrivi ,esercizi alberghieri,Mondo,2018-04,167926.0
268,Torino,arrivi ,esercizi alberghieri,Mondo,2018-05,166754.0
269,Torino,arrivi ,esercizi alberghieri,Mondo,2018-06,162514.0
270,Torino,arrivi ,esercizi alberghieri,Mondo,2018-07,175083.0
271,Torino,arrivi ,esercizi alberghieri,Mondo,2018-08,167710.0
272,Torino,arrivi ,esercizi alberghieri,Mondo,2018-09,171800.0
273,Torino,arrivi ,esercizi alberghieri,Mondo,2018-10,156979.0
274,Torino,arrivi ,esercizi alberghieri,Mondo,2018-11,159705.0
275,Torino,arrivi ,esercizi alberghieri,Mondo,2018-12,168816.0
276,Torino,arrivi ,esercizi alberghieri,Mondo,2019-01,150833.0
277,Torino,arrivi ,esercizi alberghieri,Mondo,2019-02,191332.0
278,Torino,arrivi ,esercizi alberghieri,Mondo,2019-03,191064.0
279,Torino,arrivi ,esercizi alberghieri,Mondo,2019-04,175714.0
280,Torino,arrivi ,esercizi alberghieri,Mondo,2019-05,157109.0
281,Torino,arrivi ,esercizi alberghieri,Mondo,2019-06,153176.0
282,Torino,arrivi ,esercizi alberghieri,Mondo,2019-07,169690.0
283,Torino,arrivi ,esercizi alberghieri,Mondo,2019-08,153829.0
284,Torino,arrivi ,esercizi alberghieri,Mondo,2019-09,164038.0
285,Torino,arrivi ,esercizi alberghieri,Mondo,2019-10,167163.0
286,Torino,arrivi ,esercizi alberghieri,Mondo,2019-11,160875.0
287,Torino,arrivi ,esercizi alberghieri,Mondo,2019-12,165738.0
288,Torino,arrivi ,esercizi alberghieri,Mondo,2020-01,159638.0
289,Torino,arrivi ,esercizi alberghieri,Mondo,2020-02,150621.0
290,Torino,arrivi ,esercizi alberghieri,Mondo,2020-03,20150.0
291,Torino,arrivi ,esercizi alberghieri,Mondo,2020-04,1444.0
292,Torino,arrivi ,esercizi alberghieri,Mondo,2020-05,11807.0
293,Torino,arrivi ,esercizi alberghieri,Mondo,2020-06,41596.0
294,Torino,arrivi ,esercizi alberghieri,Mondo,2020-07,77836.0
295,Torino,arrivi ,esercizi alberghieri,Mondo,2020-08,88614.0
296,Torino,arrivi ,esercizi alberghieri,Mondo,2020-09,85628.0
297,Torino,arrivi ,esercizi alberghieri,Mondo,2020-10,73062.0
298,Torino,arrivi ,esercizi alberghieri,Mondo,2020-11,26164.0
299,Torino,arrivi ,esercizi alberghieri,Mondo,2020-12,32459.0
300,Torino,arrivi ,esercizi alberghieri,Mondo,2021-01,38265.0
301,Torino,arrivi ,esercizi alberghieri,Mondo,2021-02,55253.0
302,Torino,arrivi ,esercizi alberghieri,Mondo,2021-03,39059.0
303,Torino,arrivi ,esercizi alberghieri,Mondo,2021-04,42565.0
304,Torino,arrivi ,esercizi alberghieri,Mondo,2021-05,70582.0
305,Torino,arrivi ,esercizi alberghieri,Mondo,2021-06,98014.0
306,Torino,arrivi ,esercizi alberghieri,Mondo,2021-07,129063.0
307,Torino,arrivi ,esercizi alberghieri,Mondo,2021-08,140026.0
308,Torino,arrivi ,esercizi alberghieri,Mondo,2021-09,129903.0
309,Torino,arrivi ,esercizi alberghieri,Mondo,2021-10,149198.0
310,Torino,arrivi ,esercizi alberghieri,Mondo,2021-11,133070.0
311,Torino,arrivi ,esercizi alberghieri,Mondo,2021-12,130997.0
312,Torino,arrivi ,esercizi extra-alberghieri,Italia,2008-01,16109.0
313,Torino,arrivi ,esercizi extra-alberghieri,Italia,2008-02,17531.0
314,Torino,arrivi ,esercizi extra-alberghieri,Italia,2008-03,17805.0
315,Torino,arrivi ,esercizi extra-alberghieri,Italia,2008-04,15700.0
316,Torino,arrivi ,esercizi extra-alberghieri,Italia,2008-05,16418.0
317,Torino,arrivi ,esercizi extra-alberghieri,Italia,2008-06,17354.0
318,Torino,arrivi ,esercizi extra-alberghieri,Italia,2008-07,25129.0
319,Torino,arrivi ,esercizi extra-alberghieri,Italia,2008-08,22087.0
320,Torino,arrivi ,esercizi extra-alberghieri,Italia,2008-09,17382.0
321,Torino,arrivi ,esercizi extra-alberghieri,Italia,2008-10,13398.0
322,Torino,arrivi ,esercizi extra-alberghieri,Italia,2008-11,13833.0
323,Torino,arrivi ,esercizi extra-alberghieri,Italia,2008-12,16585.0
324,Torino,arrivi ,esercizi extra-alberghieri,Italia,2009-01,32928.0
325,Torino,arrivi ,esercizi extra-alberghieri,Italia,2009-02,34465.0
326,Torino,arrivi ,esercizi extra-alberghieri,Italia,2009-03,31022.0
327,Torino,arrivi ,esercizi extra-alberghieri,Italia,2009-04,31881.0
328,Torino,arrivi ,esercizi extra-alberghieri,Italia,2009-05,23480.0
329,Torino,arrivi ,esercizi extra-alberghieri,Italia,2009-06,21538.0
330,Torino,arrivi ,esercizi extra-alberghieri,Italia,2009-07,29661.0
331,Torino,arrivi ,esercizi extra-alberghieri,Italia,2009-08,33466.0
332,Torino,arrivi ,esercizi extra-alberghieri,Italia,2009-09,23964.0
333,Torino,arrivi ,esercizi extra-alberghieri,Italia,2009-10,28090.0
334,Torino,arrivi ,esercizi extra-alberghieri,Italia,2009-11,26457.0
335,Torino,arrivi ,esercizi extra-alberghieri,Italia,2009-12,16243.0
336,Torino,arrivi ,esercizi extra-alberghieri,Italia,2010-01,28668.0
337,Torino,arrivi ,esercizi extra-alberghieri,Italia,2010-02,27222.0
338,Torino,arrivi ,esercizi extra-alberghieri,Italia,2010-03,28181.0
339,Torino,arrivi ,esercizi extra-alberghieri,Italia,2010-04,30933.0
340,Torino,arrivi ,esercizi extra-alberghieri,Italia,2010-05,22165.0
341,Torino,arrivi ,esercizi extra-alberghieri,Italia,2010-06,25136.0
342,Torino,arrivi ,esercizi extra-alberghieri,Italia,2010-07,26112.0
343,Torino,arrivi ,esercizi extra-alberghieri,Italia,2010-08,22517.0
344,Torino,arrivi ,esercizi extra-alberghieri,Italia,2010-09,22328.0
345,Torino,arrivi ,esercizi extra-alberghieri,Italia,2010-10,13901.0
346,Torino,arrivi ,esercizi extra-alberghieri,Italia,2010-11,20160.0
347,Torino,arrivi ,esercizi extra-alberghieri,Italia,2010-12,28125.0
